fecha,monto,categoria,descripcion,es_anomalia
2025-10-14 02:06:34,146.44,Suscripciones,Esta grado.,0
2025-12-30 11:44:52,36.06,Educación,Tratamiento sus importantes.,0
2026-03-27 00:53:15,1082.51,Vivienda,Cama práctica.,0
2025-08-28 23:27:15,153.75,Salud,Muerte quizá fuego internacional.,0
2025-06-08 08:34:16,105.06,Alimentación,Tu pronto quizá hombre.,0
2025-06-30 04:08:56,34.69,Ocio,Sur razón mí.,0
2025-05-25 03:25:23,44.02,Salud,Anterior muy resultado nos ejército.,0
2025-10-01 04:16:18,80.43,Compras,Defensa aparece.,0
2025-08-08 19:02:16,85.54,Salud,Toma dicho así.,0
2025-08-13 22:41:34,133.52,Educación,Político fondo contrario.,0
2026-01-17 08:26:23,19.67,Otros,Tendrá doctor corazón.,0
2025-06-07 04:25:52,147.75,Otros,Habían del falta proyecto.,0
2025-08-24 06:25:04,37.55,Ocio,Puso sería máximo algunas.,0
2026-04-14 09:10:28,33.01,Transporte,Imágenes r tiempo diversas nunca.,0
2025-09-14 21:25:46,17.88,Transporte,Cultura hubiera propuesta trabajar.,0
2025-12-30 11:45:57,183.81,Salud,Ellas oposición.,0
2026-01-18 14:17:00,17.0,Suscripciones,Francia haya mundo así teoría.,0
2025-06-12 14:25:00,26.89,Educación,Crecimiento jóvenes.,0
2026-02-08 23:46:24,75.84,Suscripciones,Televisión estos principio.,0
2025-09-02 17:40:41,501.63,Vivienda,Don pública les.,0
2025-12-21 02:33:00,89.12,Compras,Manera unión alta j voz.,0
2026-05-08 07:45:02,196.71,Educación,Queda podía particular ojos jorge.,0
2025-11-19 14:22:13,58.24,Alimentación,Ningún encuentro intereses.,0
2025-06-06 21:38:41,176.91,Ocio,Cabeza mil tal sabía viejo.,0
2026-04-20 15:16:37,32.54,Transporte,Padres naturaleza chile sean.,0
2025-10-20 00:09:35,189.95,Compras,Antonio atrás.,0
2025-08-19 06:45:01,116.87,Alimentación,Mismo durante media.,0
2025-09-11 16:47:10,13.88,Salud,Personas rey pacientes.,0
2025-10-23 21:18:54,39.63,Transporte,Próximo otro.,0
2025-12-22 05:00:25,159.51,Otros,Pasó palabras banco reforma.,0
2026-05-04 21:35:16,2688.23,Vivienda,Silencio buenos busca próximo.,1
2025-08-24 05:16:42,71.88,Salud,Diciembre proceso dejar.,0
2025-10-16 22:36:00,127.29,Educación,Cinco experiencia torno.,0
2026-05-10 21:46:44,100.73,Compras,Hemos trabajadores estamos sabe.,0
2025-09-27 02:13:20,135.42,Ocio,Siendo felipe etapa destino duda.,0
2026-04-11 05:14:15,1336.99,Vivienda,Sin g señaló partido unión.,0
2025-06-07 05:34:18,14698.87,Vivienda,C en crisis.,1
2025-06-01 05:20:10,925.67,Vivienda,Material mundo hora unos.,0
2025-11-03 22:35:14,490.3,Ocio,Bueno existen peor primeras.,1
2025-05-27 17:18:15,11.74,Salud,Mismos boca.,0
2025-05-15 06:55:58,177.96,Salud,Elementos miembros cuerpo comisión largo.,0
2025-11-26 06:00:09,74.82,Educación,Nuevas posible servicio julio.,0
2025-09-16 05:03:43,140.83,Alimentación,Dan deben muestra a.,0
2025-08-07 02:49:44,88.0,Suscripciones,Cambios creación ni.,0
2025-08-08 23:48:28,122.89,Compras,Santa razón.,0
2025-11-03 05:06:22,113.19,Otros,Sino nuevas pueda.,0
2026-01-18 03:41:07,990.42,Vivienda,D sabe proyecto tal.,0
2025-10-14 00:59:42,21.63,Otros,Única trabajadores espera.,0
2025-12-25 20:16:29,20.63,Transporte,Mismos temas dios médico.,0
2025-07-26 11:04:33,92.3,Educación,Cabeza pueden siguiente permite c.,0
2026-02-14 10:57:36,30.85,Alimentación,Va seguridad buen.,0
2026-03-22 23:51:50,103.46,Ocio,Tierra habla unidos.,0
2025-11-29 01:43:45,161.41,Ocio,Nadie mar tras.,0
2026-02-21 17:23:37,697.21,Vivienda,Teoría gracias necesidad gobierno tipo.,0
2026-03-05 01:57:54,735.5,Vivienda,Aun programas este también.,0
2025-09-15 14:40:58,2222.51,Otros,Pacientes hacía.,1
2025-08-23 23:12:18,30.67,Transporte,Destino dios les.,0
2026-02-07 07:39:21,190.76,Salud,Victoria algún.,0
2025-12-31 12:31:01,146.92,Educación,Conciencia mil izquierda empresas.,0
2025-10-10 16:30:15,1035.66,Vivienda,Diario universidad entonces construcción.,0
2026-03-17 01:50:50,169.82,Educación,Suficiente productos siguientes.,0
2025-06-01 02:51:02,70.43,Educación,Valores acto.,0
